timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664287860897,0.23364258,-0.8682251,0.4286499,1.90625,0.625,-1.609375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287860934,0.23583984,-0.8621216,0.42913818,2.578125,1.484375,-2.40625,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287860973,0.23266602,-0.8850708,0.44891357,3.53125,3.78125,-4.375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861011,0.20410156,-0.88946533,0.44451904,3.46875,5.3125,-7.171875,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861048,0.22875977,-0.8880005,0.42791748,5.875,3.328125,-4.3125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861087,0.22387695,-0.833313,0.39398193,2.765625,2.234375,-3.8125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861141,0.16748047,-0.85528564,0.36688232,-3.609375,1.0,-7.171875,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861180,0.16845703,-0.91070557,0.3895874,-3.609375,3.921875,-10.3125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861216,0.12182617,-0.9036255,0.4389038,1.078125,7.140625,-11.265625,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861254,0.13305664,-0.93756104,0.5175171,0.125,9.484375,-16.0,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861292,0.107421875,-0.9158325,0.48797607,1.40625,9.953125,-16.234375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861329,0.13647461,-0.9104614,0.46600342,0.796875,6.671875,-14.859375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861366,0.14013672,-0.9089966,0.4118042,6.84375,5.71875,-10.984375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861404,0.10546875,-0.911438,0.42230225,10.28125,9.78125,-13.5,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861460,0.068847656,-0.8977661,0.38616943,3.265625,15.96875,-12.234375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861497,0.14331055,-0.9351196,0.46795654,-3.921875,15.890625,-11.09375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861535,0.084228516,-0.9492798,0.4179077,-5.953125,16.140625,-9.59375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861574,0.09472656,-0.9326782,0.42230225,-5.09375,12.109375,-10.703125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861610,0.033935547,-0.90411377,0.3690796,-5.390625,12.25,-10.109375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861649,0.025146484,-0.9248657,0.42791748,-8.453125,12.515625,-9.390625,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861686,0.037597656,-0.98101807,0.3932495,-6.96875,8.546875,-8.390625,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861722,-0.0026855469,-0.97979736,0.4537964,-10.875,14.3125,-7.734375,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861760,-0.01977539,-0.9570923,0.42401123,-11.140625,11.984375,-7.875,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861798,-0.048583984,-0.92144775,0.43011475,-7.34375,13.953125,-7.25,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861855,0.042236328,-0.96539307,0.45892334,-7.28125,21.0,0.53125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861891,0.045654297,-0.91656494,0.46429443,-8.328125,23.671875,5.875,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861929,0.016601562,-0.86920166,0.40863037,-9.4375,12.875,9.3125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287861967,0.05908203,-0.90753174,0.56658936,-5.46875,9.359375,15.796875,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287862004,0.072509766,-1.0979614,0.5643921,-5.84375,10.109375,19.453125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287862041,0.15527344,-1.1758423,0.5140991,19.046875,11.40625,11.8125,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287862080,0.37817383,-1.0645142,0.6466675,3.640625,18.3125,4.875,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
1664287862116,0.3881836,-1.0291138,0.7055054,-9.71875,12.390625,1.15625,Respeck,Movement,9,s1809887,,Respeck_s1809887_Movement_27-09-2022_15-11-36
