timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664287324749,-0.14648438,-0.3154297,-0.953125,0.3125,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287324785,-0.15234375,-0.3095703,-0.9472656,0.1875,0.125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287324823,-0.15234375,-0.31152344,-0.9423828,-0.0625,0.25,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287324878,-0.15234375,-0.31347656,-0.94628906,-0.0625,0.125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287324898,-0.16015625,-0.31152344,-0.9472656,0.0,0.0,-0.03125,11.125,-7.8125,-47.8125,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287324935,-0.15527344,-0.30371094,-0.9453125,-0.125,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287324971,-0.15234375,-0.31445312,-0.9501953,-0.1875,-0.09375,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325009,-0.14550781,-0.3095703,-0.96777344,-0.0625,0.125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325104,-0.140625,-0.31152344,-0.9433594,0.0,0.0625,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325109,-0.15234375,-0.32226562,-0.94628906,0.0,0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325144,-0.14453125,-0.3095703,-0.94921875,0.0,0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325179,-0.15136719,-0.3095703,-0.9560547,0.125,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325217,-0.15039062,-0.3095703,-0.9638672,0.0,-0.09375,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325254,-0.14648438,-0.3076172,-0.94628906,0.0,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325290,-0.14453125,-0.3095703,-0.94921875,0.0625,-0.03125,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325348,-0.15429688,-0.3173828,-0.94921875,0.0,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325384,-0.14941406,-0.30664062,-0.9472656,0.125,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325422,-0.14550781,-0.31445312,-0.95996094,0.0625,0.125,-0.03125,10.0625,-7.8125,-49.125,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325461,-0.15429688,-0.30859375,-0.95996094,0.0,0.25,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325499,-0.14453125,-0.3046875,-0.953125,-0.125,0.125,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325534,-0.14453125,-0.30664062,-0.9560547,0.0,0.125,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325571,-0.15136719,-0.31054688,-0.9580078,0.0,0.375,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325609,-0.14746094,-0.3095703,-0.9453125,0.1875,0.0625,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325666,-0.14746094,-0.3125,-0.9638672,0.25,0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325704,-0.140625,-0.31054688,-0.9453125,0.3125,0.0625,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325740,-0.15136719,-0.3154297,-0.9453125,0.1875,0.0,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325778,-0.15332031,-0.30664062,-0.9589844,0.1875,0.0625,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325817,-0.14355469,-0.31933594,-0.95703125,0.125,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325855,-0.13574219,-0.31054688,-0.95410156,-0.125,-0.03125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325892,-0.14453125,-0.3125,-0.9453125,-0.25,-0.21875,0.09375,9.875,-7.25,-49.75,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325948,-0.14941406,-0.31054688,-0.9472656,0.0,-0.03125,0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287325985,-0.13964844,-0.3154297,-0.9560547,-0.0625,-0.03125,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326025,-0.15039062,-0.30371094,-0.9638672,0.0,0.0625,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326066,-0.15429688,-0.31152344,-0.9716797,0.0625,0.1875,-0.1875,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326099,-0.14257812,-0.30273438,-0.9501953,0.0625,0.125,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326135,-0.15917969,-0.3125,-0.9550781,0.1875,0.1875,-0.09375,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326172,-0.14550781,-0.30566406,-0.9511719,0.0625,0.0,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326210,-0.14550781,-0.3095703,-0.953125,0.1875,-0.03125,-0.15625,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326266,-0.140625,-0.31835938,-0.9560547,0.125,0.0,-0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
1664287326305,-0.14746094,-0.31054688,-0.9511719,0.125,-0.03125,0.03125,0.0,0.0,0.0,Thingy,Lying down right,6,s1809887,,Thingy_s1809887_Lying down right_27-09-2022_15-02-34
