timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664554561216,-0.99902344,0.041992188,-0.034179688,-0.5,-0.40625,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561275,-1.0048828,0.046875,-0.028320312,-1.78125,-0.21875,-0.34375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561302,-1.0068359,0.032226562,-0.016601562,-0.6875,0.15625,-0.125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561333,-1.0039062,0.040039062,-0.022460938,0.09375,0.21875,0.625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561392,-1.0068359,0.03515625,-0.017578125,0.78125,0.3125,0.8125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561422,-1.0068359,0.036132812,-0.018554688,0.78125,0.4375,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561453,-1.0019531,0.045898438,-0.016601562,0.15625,0.03125,-0.78125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561516,-1.0078125,0.0546875,-0.04296875,0.65625,0.09375,-0.78125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561543,-1.0029297,0.047851562,-0.043945312,-1.625,0.3125,-0.53125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561573,-1.0048828,0.053710938,-0.0390625,-0.40625,-0.09375,-0.65625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561633,-1.0009766,0.03515625,-0.028320312,-3.1875,0.15625,-0.25,-59.6875,11.75,-135.1875,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561663,-1.0087891,0.01953125,-0.032226562,-2.28125,-0.15625,-0.3125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561695,-0.99902344,0.028320312,-0.0234375,-0.6875,-0.21875,-0.65625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561753,-1.0126953,0.021484375,-0.02734375,0.71875,0.375,-0.34375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561786,-0.9941406,0.046875,-0.041992188,2.90625,-0.40625,-0.34375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561814,-1.0058594,0.05078125,-0.021484375,2.21875,0.15625,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561872,-1.0078125,0.041015625,-0.025390625,2.28125,-0.15625,-0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561904,-1.0009766,0.045898438,-0.034179688,0.09375,-0.28125,-0.46875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561933,-1.0048828,0.036132812,-0.034179688,-0.03125,0.15625,-0.53125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554561992,-1.0068359,0.03125,-0.037109375,0.15625,-0.28125,-0.65625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562023,-1.0097656,0.033203125,-0.033203125,0.03125,-0.09375,-0.40625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562055,-1.0,0.021484375,-0.045898438,2.65625,-0.90625,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562114,-1.0039062,0.048828125,-0.044921875,2.28125,-1.3125,-1.15625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562142,-1.0029297,0.052734375,-0.03125,0.59375,-0.90625,-1.21875,-60.3125,10.8125,-135.375,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562173,-1.0029297,0.033203125,-0.040039062,0.9375,-1.03125,0.25,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562233,-1.0078125,0.04296875,-0.0146484375,0.59375,-0.53125,0.5625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562264,-0.9921875,0.036132812,-0.020507812,0.34375,-1.0625,0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562294,-1.015625,0.038085938,-0.021484375,-0.34375,-0.90625,-0.53125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562324,-0.99316406,0.044921875,-0.024414062,-2.40625,-1.03125,-0.34375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562383,-1.0,0.03515625,-0.030273438,-0.03125,-1.03125,-0.65625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562444,-1.0097656,0.046875,-0.02734375,-1.84375,-0.65625,-1.59375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562449,-1.0009766,0.041992188,-0.016601562,-3.125,-0.84375,-0.25,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562505,-0.99902344,0.016601562,-0.025390625,-0.09375,-0.46875,0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562534,-1.0068359,0.033203125,-0.01953125,-0.875,-0.65625,-1.15625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562564,-0.99316406,0.040039062,-0.018554688,-1.1875,-0.59375,-0.53125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562622,-1.0068359,0.0234375,-0.021484375,0.78125,-0.21875,0.1875,-58.375,10.375,-134.125,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562654,-1.0068359,0.032226562,-0.025390625,-1.0625,-0.28125,-0.40625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562683,-1.0048828,0.033203125,-0.01953125,0.03125,-0.21875,-0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562745,-1.0175781,0.034179688,-0.020507812,0.28125,0.15625,0.125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562773,-1.0175781,0.0234375,-0.01953125,0.03125,0.25,0.375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562803,-0.9980469,0.033203125,-0.018554688,0.21875,-0.28125,-0.25,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562862,-1.0136719,0.0234375,-0.009765625,-0.75,-0.03125,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562893,-0.99316406,0.043945312,-0.021484375,-0.15625,0.4375,0.3125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562922,-0.99316406,0.0234375,-0.028320312,0.34375,0.21875,0.5,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554562983,-1.0068359,0.036132812,-0.0078125,-0.28125,0.375,0.0,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563013,-1.0078125,0.028320312,-0.021484375,-0.40625,0.09375,0.3125,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563043,-1.0039062,0.021484375,-0.025390625,0.53125,0.5,0.25,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563102,-1.0097656,0.038085938,-0.041015625,0.9375,-0.03125,-0.0625,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563133,-1.0,0.026367188,-0.021484375,0.84375,0.25,0.125,-60.125,9.9375,-135.1875,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563165,-1.0117188,0.02734375,-0.030273438,2.1875,0.375,0.4375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563223,-0.99902344,0.038085938,-0.025390625,0.65625,0.375,0.375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563253,-1.0019531,0.02734375,-0.037109375,1.8125,0.3125,0.375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563283,-1.0058594,0.043945312,-0.020507812,0.875,0.3125,-0.34375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563343,-1.0019531,0.045898438,-0.028320312,-0.21875,-0.03125,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563374,-0.99121094,0.017578125,-0.030273438,1.1875,-0.09375,0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563402,-1.0166016,0.026367188,-0.025390625,0.28125,0.09375,-0.1875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563463,-0.99121094,0.037109375,-0.028320312,0.71875,0.09375,0.6875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563494,-1.0068359,0.020507812,-0.016601562,2.40625,0.21875,0.6875,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563525,-1.0185547,0.03125,-0.03515625,0.875,0.25,-0.25,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563584,-1.0126953,0.03515625,-0.0234375,0.59375,-0.21875,0.0,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563613,-0.99902344,0.022460938,-0.03515625,2.59375,0.03125,0.375,-60.625,10.5625,-135.0625,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
1664554563645,-1.0039062,0.038085938,-0.032226562,0.28125,0.15625,-0.59375,0.0,0.0,0.0,Thingy,Standing,100,s1817967,test1,Thingy_s1817967_Standing_30-09-2022_17-16-31
