timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664379429176,-0.53808594,-0.24511719,0.8222656,-0.3125,-0.09375,-0.65625,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429204,-0.5371094,-0.24707031,0.8076172,-0.4375,-0.3125,-0.46875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429265,-0.5439453,-0.24414062,0.8222656,-0.5,-0.4375,-0.46875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429293,-0.53027344,-0.24707031,0.8076172,-0.25,-0.4375,-0.1875,-59.125,7.6875,-39.0625,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429325,-0.53222656,-0.24707031,0.81347656,-0.125,0.09375,0.125,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429385,-0.546875,-0.24511719,0.83203125,0.3125,0.21875,0.3125,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429413,-0.5341797,-0.24609375,0.8222656,0.25,0.40625,0.0625,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429446,-0.54003906,-0.234375,0.8046875,0.71875,0.28125,0.0,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429505,-0.53515625,-0.23144531,0.7998047,0.0625,-0.1875,-0.59375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429534,-0.54003906,-0.23535156,0.8076172,-0.0625,-0.5,-0.46875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429564,-0.5371094,-0.2421875,0.81152344,-0.1875,-0.375,-0.34375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429623,-0.53515625,-0.2578125,0.81640625,0.0,-0.15625,0.1875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429655,-0.5283203,-0.24902344,0.81152344,-0.0625,0.84375,0.4375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429715,-0.54589844,-0.25195312,0.8095703,0.4375,0.09375,0.4375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429745,-0.5341797,-0.234375,0.8222656,0.78125,0.59375,0.875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429775,-0.54785156,-0.2421875,0.8330078,0.84375,0.71875,0.25,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429835,-0.53125,-0.2421875,0.8154297,1.21875,-0.09375,0.5,-58.375,8.3125,-40.5625,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429864,-0.5410156,-0.24511719,0.82910156,1.15625,0.84375,0.4375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429894,-0.53808594,-0.22753906,0.81347656,0.375,0.53125,0.25,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429956,-0.5292969,-0.24316406,0.80566406,0.625,0.96875,0.6875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379429985,-0.5449219,-0.234375,0.8183594,0.3125,0.03125,0.4375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430015,-0.5498047,-0.24609375,0.8125,-0.3125,0.09375,0.1875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430076,-0.54003906,-0.23730469,0.80078125,0.375,-0.5,-0.40625,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430105,-0.54589844,-0.24414062,0.8173828,0.0,-0.9375,-0.65625,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430134,-0.5390625,-0.24804688,0.8232422,1.03125,-1.0,-0.71875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430194,-0.53222656,-0.23339844,0.82128906,1.46875,0.09375,-0.78125,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430225,-0.5205078,-0.23828125,0.8173828,0.71875,0.21875,-0.84375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430254,-0.53808594,-0.24121094,0.8173828,0.96875,1.3125,-0.90625,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430315,-0.5332031,-0.23242188,0.82421875,0.71875,1.09375,-0.71875,-59.6875,8.5625,-38.9375,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430346,-0.5439453,-0.22753906,0.82910156,0.3125,1.09375,-0.71875,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430375,-0.5371094,-0.23632812,0.8105469,0.65625,0.15625,-0.59375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430466,-0.54296875,-0.22753906,0.8144531,0.1875,-1.0,-1.03125,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430469,-0.5390625,-0.22558594,0.81347656,0.0625,-0.6875,-0.78125,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430496,-0.5371094,-0.23828125,0.8222656,-0.1875,-1.25,-0.84375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430554,-0.5185547,-0.23632812,0.81640625,-0.84375,-0.8125,-0.59375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430585,-0.53027344,-0.23339844,0.7998047,-1.28125,-0.375,-0.65625,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
1664379430616,-0.53222656,-0.24414062,0.80859375,-1.40625,-0.1875,-0.84375,0.0,0.0,0.0,Thingy,Desk work,31,s1853226,,Thingy_s1853226_Desk work_28-09-2022_16-37-43
