timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664629863346,0.64038086,-0.833313,-0.43707275,8.65625,-1.609375,1.328125,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863392,0.6386719,-0.7542114,-0.37530518,1.9375,3.875,-5.5625,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863422,0.5263672,-0.70269775,-0.37091064,-5.140625,2.765625,-8.671875,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863472,0.47998047,-0.62872314,-0.26593018,-4.359375,4.625,-12.203125,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863513,0.4165039,-0.66656494,-0.37506104,-6.421875,-1.8125,-10.609375,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863540,0.5456543,-0.5906372,-0.1987915,-13.65625,4.78125,-20.703125,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863586,0.21386719,-0.5147095,-0.26519775,-9.59375,-1.640625,-20.109375,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863630,0.35546875,-0.880188,-0.24786377,-14.203125,-1.25,-11.296875,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863663,0.39941406,-0.5371704,-0.16046143,-14.46875,2.734375,-23.203125,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863705,0.2841797,-0.6421509,-0.29400635,-17.28125,-4.015625,-16.734375,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863736,0.39941406,-0.70977783,-0.23272705,-19.609375,0.515625,-18.265625,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863783,0.32495117,-0.80963135,-0.29156494,-16.5625,-4.015625,-20.875,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863826,0.37182617,-0.80133057,-0.175354,-15.046875,4.0,-17.09375,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863857,0.16723633,-0.8152466,-0.29156494,-18.859375,5.5,-9.515625,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863902,0.36083984,-0.8652954,-0.15533447,-20.140625,6.640625,-11.6875,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863949,0.4326172,-0.85821533,-0.19390869,-9.734375,-0.953125,-10.140625,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629863976,0.23779297,-0.8423462,-0.18707275,-12.46875,-2.234375,-9.8125,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
1664629864026,0.24047852,-0.9404907,-0.17584229,-11.71875,-1.453125,-7.875,Respeck,Movement,9,s1918275,,Respeck_s1918275_Movement_01-10-2022_14-11-39
