timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664710931748,0.57006836,-0.72198486,-0.38897705,-0.125,0.0,-0.0625,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710931770,0.57299805,-0.7151489,-0.3809204,-0.015625,0.25,-0.203125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710931823,0.56933594,-0.7192993,-0.38311768,-0.09375,0.21875,0.171875,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710931877,0.57714844,-0.7168579,-0.3867798,-0.390625,0.078125,-0.046875,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710931893,0.57128906,-0.7214966,-0.38458252,-0.125,0.234375,-0.109375,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710931928,0.5690918,-0.71954346,-0.38531494,-0.21875,0.125,-0.125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710931974,0.57006836,-0.7190552,-0.38360596,-0.171875,0.53125,-0.125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932007,0.56762695,-0.7168579,-0.38580322,0.3125,0.421875,-0.203125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932059,0.5686035,-0.7136841,-0.38726807,0.328125,0.796875,-0.453125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932086,0.56518555,-0.71759033,-0.3887329,0.859375,1.1875,-0.5,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932135,0.5703125,-0.72076416,-0.38897705,0.515625,1.1875,-0.78125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932164,0.5727539,-0.7246704,-0.394104,0.171875,0.96875,-0.578125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932209,0.564209,-0.7185669,-0.39141846,0.796875,1.0625,-0.6875,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932242,0.5666504,-0.7185669,-0.39801025,0.984375,1.3125,-0.5625,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932294,0.5673828,-0.72076416,-0.39678955,0.84375,1.015625,-0.484375,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932333,0.56347656,-0.71881104,-0.40655518,0.515625,0.796875,-0.53125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932366,0.56103516,-0.71588135,-0.39727783,0.53125,0.875,-0.453125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932418,0.5654297,-0.7144165,-0.40142822,0.375,1.0625,-0.484375,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932450,0.5637207,-0.71661377,-0.40509033,0.3125,0.84375,-0.390625,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932489,0.55810547,-0.71539307,-0.4043579,0.671875,0.78125,-0.28125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932526,0.5620117,-0.71661377,-0.40948486,0.78125,1.09375,-0.34375,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932573,0.5605469,-0.72247314,-0.40997314,0.703125,0.796875,-0.1875,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932602,0.5563965,-0.7127075,-0.40582275,0.625,0.875,-0.40625,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932649,0.55810547,-0.71173096,-0.409729,0.359375,0.875,-0.4375,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932683,0.5595703,-0.70977783,-0.40924072,0.296875,0.890625,-0.375,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932726,0.560791,-0.710022,-0.4175415,0.203125,0.734375,-0.390625,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
1664710932758,0.55737305,-0.7180786,-0.41778564,0.234375,0.90625,-0.53125,Respeck,Sitting bent forward,4,s1923493,,Respeck_s1923493_Sitting bent forward_02-10-2022_12-42-43
