timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1663933973996,-0.22705078,-0.75860596,0.23626709,10.140625,6.78125,-9.765625,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974042,-0.23706055,-0.82940674,0.30413818,0.796875,9.765625,-10.59375,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974062,-0.2241211,-0.8789673,0.21234131,-3.0,2.453125,-8.65625,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974101,-0.1550293,-0.8164673,0.26898193,-3.453125,3.65625,-9.203125,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974161,-0.1027832,-0.6765747,0.09564209,-3.265625,-3.28125,-6.296875,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974176,-0.15722656,-0.7805786,0.3131714,6.609375,4.34375,-11.78125,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974221,-0.20874023,-1.0527954,0.15374756,-9.671875,-19.859375,-10.609375,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974282,-0.32543945,-1.1057739,0.11395264,-2.046875,-18.9375,-8.5625,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974310,-0.4970703,-1.7202759,-0.093322754,-24.75,-27.8125,3.0,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974356,-0.37231445,-1.2791138,0.027770996,35.96875,-2.1875,8.203125,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
1663933974386,-0.58569336,-1.1294556,0.21795654,4.109375,-13.875,2.84375,Respeck,Descending stairs,13,s1948094,,Respeck_s1948094_Descending stairs_23-09-2022_12-53-24
