timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664725308481,-1.2724608999999998,-0.09472656,0.3232422,-19.65625,1.5625,-69.78125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308521,-1.1865233999999998,-0.15820312,0.33496094,-74.0625,30.375,-42.375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308562,-0.7685546999999999,0.034179688,0.35546875,75.53125,-1.40625,-44.8125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308603,-0.7265625,0.18359375,0.3828125,115.65625,-20.15625,-15.8125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308642,-0.5986328000000001,0.3955078,0.111328125,64.8125,5.46875,27.09375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308682,-0.45019529999999996,0.12890625,0.17871094,10.78125,38.25,62.96875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308723,-0.46875,-0.28808594,0.24609375,-11.375,78.71875,79.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308762,-0.81152344,-0.828125,0.3203125,-49.34375,63.65625,61.8125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308803,-0.7998046999999999,-0.24609375,0.23632812,80.25,57.0625,19.625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308843,-0.71972656,-0.24707031,0.29101562,-4.90625,54.1875,-7.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308883,-0.8076171999999999,0.076171875,0.5332031,-29.0625,49.59375,-8.5,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308923,-1.6894531000000004,0.25,0.9941405999999999,26.46875,10.53125,1.875,-64.625,2.875,-183.8125,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725308962,-1.1064453,-0.25585938,-0.9472655999999999,-49.875,-3.375,-19.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309002,-2.0,0.5966796999999999,0.6933594,37.15625,-15.625,-5.75,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309042,-0.8515625,-0.033203125,-0.66308594,-30.15625,-74.84375,-20.84375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309082,-1.0732422,-0.18457031,0.2734375,122.71875,43.3125,-2.28125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309122,-1.0605468999999998,0.15039062,0.043945312,47.65625,58.53125,9.5,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309162,-0.8378905999999999,0.07910156,0.087890625,-10.15625,72.875,32.15625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309202,-0.8486328000000002,-0.12109375,0.22167969,14.03125,28.90625,39.46875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309242,-0.86035156,-0.296875,0.10253906,12.375,0.71875,16.90625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309283,-0.8730469000000001,-0.2421875,0.3017578,16.34375,-13.9375,-9.28125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309322,-0.6748046999999999,0.14257812,0.21191406,-55.875,-27.65625,-15.75,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309362,-0.48632812,0.12792969,0.2548828,-66.65625,-50.6875,-9.90625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309402,-0.8828125,-0.3095703,-0.076171875,-77.71875,-33.875,7.25,0.0,0.0,0.0,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
1664725309442,-0.9042969000000001,-0.42285156,0.3076172,-73.25,-25.71875,-12.78125,-66.75,9.625,-184.875,Thingy,Descending stairs,13,s1960578,,Thingy_s1960578_Descending stairs_02-10-2022_16-42-23
