timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664551879617,-0.7351074,-0.1338501,0.7225952,0.375,0.421875,0.109375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879664,-0.7416992,-0.116760254,0.72332764,0.84375,-0.015625,0.265625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879702,-0.7429199,-0.1104126,0.7164917,0.484375,0.734375,-0.046875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879732,-0.7512207,-0.1116333,0.7255249,1.390625,-0.984375,0.5,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879781,-0.75,-0.1116333,0.7003784,-0.625,0.078125,-0.046875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879822,-0.7614746,-0.12188721,0.7147827,0.34375,-0.046875,0.0625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879852,-0.7561035,-0.121154785,0.71502686,0.765625,0.015625,0.546875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879900,-0.7470703,-0.11798096,0.71258545,0.59375,-0.078125,0.0625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879930,-0.75512695,-0.11578369,0.71136475,0.8125,-0.046875,0.015625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551879972,-0.7529297,-0.113586426,0.71673584,0.875,0.0625,0.15625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880022,-0.74438477,-0.11090088,0.7106323,0.453125,0.203125,0.140625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880051,-0.74438477,-0.12384033,0.70428467,-0.03125,-0.03125,-0.125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880092,-0.74853516,-0.1194458,0.7177124,0.03125,0.171875,0.171875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880140,-0.7409668,-0.1116333,0.71673584,0.0,-0.046875,0.328125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880167,-0.74780273,-0.12017822,0.7074585,0.515625,-0.34375,0.34375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880212,-0.7524414,-0.11505127,0.70965576,0.078125,-0.15625,0.0625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880291,-0.7507324,-0.11407471,0.7057495,-0.28125,0.109375,-0.015625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880296,-0.75390625,-0.1104126,0.7079468,-0.046875,-0.46875,-0.03125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880332,-0.75219727,-0.11236572,0.71502686,-0.25,0.15625,-0.0625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880362,-0.7614746,-0.1194458,0.7260132,0.984375,-0.796875,0.46875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880410,-0.7402344,-0.108947754,0.70965576,-1.03125,0.0,-0.4375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880452,-0.75,-0.11456299,0.70770264,-1.3125,-0.609375,-0.640625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880482,-0.7531738,-0.11602783,0.72088623,0.84375,-0.5,0.53125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880542,-0.74975586,-0.11187744,0.7123413,0.5,-0.015625,0.25,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880572,-0.75146484,-0.10626221,0.71258545,0.015625,-0.171875,-0.046875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880602,-0.7546387,-0.10845947,0.7145386,-0.09375,-0.15625,0.015625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880650,-0.7487793,-0.1104126,0.7133179,0.0,0.0625,0.34375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880677,-0.75390625,-0.10626221,0.7103882,-0.28125,0.03125,-0.078125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880722,-0.75439453,-0.11212158,0.7140503,0.1875,-0.140625,-0.015625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880769,-0.748291,-0.113586426,0.70770264,0.25,-0.234375,0.15625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880797,-0.75268555,-0.10748291,0.71307373,0.484375,-0.234375,0.125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880843,-0.74975586,-0.10406494,0.7106323,0.046875,0.046875,0.0,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880889,-0.7531738,-0.105285645,0.7145386,-0.375,-0.296875,-0.171875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880917,-0.75390625,-0.10308838,0.7094116,0.15625,-0.296875,0.125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551880963,-0.75341797,-0.1026001,0.7074585,-0.796875,-0.0625,0.109375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881009,-0.7553711,-0.10601807,0.70892334,-0.71875,-0.578125,-0.09375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881037,-0.7512207,-0.11114502,0.7201538,-0.453125,0.203125,-0.09375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881082,-0.7512207,-0.10479736,0.7177124,0.71875,-0.546875,0.359375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881112,-0.74072266,-0.09527588,0.7074585,-1.25,0.21875,-0.609375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881159,-0.76123047,-0.10430908,0.71136475,-0.890625,-0.703125,-0.390625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881202,-0.75341797,-0.101379395,0.7230835,0.671875,-0.78125,0.453125,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881232,-0.7590332,-0.10430908,0.7111206,0.5625,-0.3125,0.21875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881279,-0.7524414,-0.10308838,0.7079468,-0.015625,-0.046875,0.234375,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881322,-0.7570801,-0.09820557,0.7079468,-0.0625,0.03125,0.171875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881353,-0.7512207,-0.09503174,0.71087646,0.015625,0.09375,0.21875,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
1664551881401,-0.7548828,-0.10699463,0.7145386,0.09375,0.109375,-0.0625,Respeck,Lying down on back,2,s2298733,c2,Respeck_s2298733_Lying down on back_30-09-2022_16-31-50
