timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1665131347809,-0.2512207,-0.7703247,-0.19268799,-4.5,-6.859375,-3.234375,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131347824,-0.26733398,-0.8936157,-0.21685791,-1.875,-9.609375,-4.453125,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131347869,-0.37524414,-1.1682739,-0.4414673,4.578125,-9.96875,-3.34375,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131347944,-0.14428711,-1.0945435,-0.3970337,7.6875,-5.828125,-3.265625,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131347947,0.025146484,-1.2605591,-0.5545044,2.59375,-1.53125,5.59375,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131348005,-0.30932617,-1.560852,-0.44317627,9.765625,7.90625,5.984375,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131348036,-0.30737305,-1.1658325,-0.28668213,10.046875,1.96875,-3.3125,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131348064,-0.123291016,-0.89190674,-0.29522705,7.15625,-0.515625,-0.703125,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131348125,-0.14672852,-0.7788696,-0.28912354,6.140625,1.828125,3.734375,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131348140,-0.140625,-0.72784424,-0.31988525,6.859375,5.828125,3.28125,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
1665131348185,-0.15112305,-0.7346802,-0.32232666,4.375,8.125,3.671875,Respeck,Descending stairs,13,s1826377,,Respeck_s1826377_Descending stairs_07-10-2022_09-29-45
