timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664977110075,0.040283203,-0.39239502,-0.24786377,19.5625,6.296875,12.578125,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110115,-0.016357422,-0.5679321,-0.17340088,10.078125,1.671875,2.390625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110155,0.083740234,-1.0742798,-0.02178955,-2.25,9.5,-28.640625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110195,0.017333984,-1.425354,-0.33087158,0.890625,-5.703125,-17.21875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110235,0.89941406,-1.5772095,-0.65704346,2.296875,-3.515625,15.921875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110275,0.6730957,-1.3806763,-0.54815674,-3.28125,-31.015625,-7.265625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110315,-0.12573242,-1.6030884,-0.47296143,-0.9375,-26.53125,5.4375,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110355,-0.25439453,-1.1279907,-0.33551025,-7.328125,0.09375,3.5625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110395,0.1628418,-0.8521118,-0.29205322,-7.671875,5.09375,-4.875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110435,0.40625,-0.94244385,-0.31451416,-14.78125,-1.546875,3.5625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110475,0.1508789,-0.87750244,-0.34039307,-4.15625,-2.296875,3.03125,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110515,-0.10961914,-0.82696533,-0.20367432,6.03125,10.875,-8.421875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110555,0.057617188,-0.8233032,-0.2210083,-8.375,4.921875,-1.859375,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110595,0.25708008,-0.8743286,-0.206604,-7.78125,-3.453125,5.34375,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110635,0.18579102,-1.0176392,-0.19049072,-8.03125,-1.734375,-0.734375,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110675,0.028564453,-0.89849854,-0.14093018,-13.09375,0.390625,-0.828125,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110715,-0.013427734,-0.79644775,-0.19708252,-10.5,-1.171875,0.625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110755,0.11816406,-0.70025635,-0.14703369,-5.921875,0.875,1.25,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110795,0.08618164,-0.694397,-0.1663208,-1.359375,-1.859375,4.6875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110835,0.02709961,-0.76763916,-0.029846191,1.96875,0.5,6.140625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110875,-0.020507812,-0.534729,0.074157715,-10.828125,-3.71875,1.390625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110915,0.114990234,-0.6970825,-0.12310791,10.296875,-5.359375,-0.578125,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110955,0.16674805,-0.9690552,-0.070373535,7.5625,-0.4375,-0.90625,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977110995,-0.06982422,-1.7922974,-0.5203247,37.328125,8.734375,-5.46875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111035,0.44799805,-1.2781372,-0.42755127,-22.609375,8.84375,-1.125,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111075,0.5966797,-1.3674927,-0.23370361,-18.734375,21.75,-10.75,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111115,0.14892578,-1.0525513,-0.23638916,-8.15625,9.734375,-9.46875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111155,0.12451172,-0.7671509,-0.2625122,0.765625,-0.78125,5,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111195,0.34545898,-0.70513916,-0.2432251,7.03125,-4.75,4.296875,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111235,0.3232422,-0.9182739,-0.19903564,8.140625,-6.90625,0.5,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
1664977111275,0.24658203,-1.1340942,-0.19342041,8.1875,-7.171875,-1.359375,Respeck,Descending stairs,13,s1852056,,Respeck_s1852056_Descending stairs_05-10-2022_14-39-23
