timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664837898240,-0.8811035,-0.02154541,-0.517395,0.375,3.59375,0.296875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898259,-0.87353516,-0.030334473,-0.52716064,0.078125,2.84375,0.125,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898298,-0.86083984,-0.020080566,-0.5071411,-0.1875,2.953125,0.734375,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898334,-0.86328125,-0.023742676,-0.4968872,-0.109375,0.78125,0.671875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898372,-0.86987305,-0.023742676,-0.49346924,0.984375,-0.09375,0.453125,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898409,-0.86816406,-0.02545166,-0.5010376,1.015625,-0.75,-0.421875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898465,-0.8691406,-0.02178955,-0.5154419,0.265625,-3.03125,-1.15625,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898503,-0.8730469,-0.012756348,-0.5706177,-0.203125,-3.65625,-0.921875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898540,-0.86743164,-0.023498535,-0.5327759,0.203125,-1.921875,0.765625,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898578,-0.86157227,-0.02178955,-0.5376587,-0.140625,-1.609375,0.171875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898615,-0.8601074,-0.022277832,-0.53326416,-0.09375,-1.09375,-0.21875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898653,-0.85913086,-0.01739502,-0.5405884,0.40625,-0.375,-0.546875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898690,-0.86865234,-0.014221191,-0.5430298,0.4375,-0.015625,-0.25,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898728,-0.8359375,-0.0256958,-0.5618286,0.859375,0.25,-0.703125,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
1664837898765,-0.84716797,-0.010314941,-0.5383911,-1.09375,1.46875,-0.1875,Respeck,Lying down left,7,s1900673,,Respeck_s1900673_Lying down left_03-10-2022_23-59-04
