timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664274240124,-0.45507812,-0.7859497,0.47406006,-0.21875,1.828125,0.1875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240185,-0.45043945,-0.79351807,0.5023804,1.59375,1.734375,-0.6875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240203,-0.43164062,-0.7959595,0.49627686,1.421875,1.359375,-0.796875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240244,-0.42211914,-0.7962036,0.4923706,0.90625,1.671875,-0.171875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240326,-0.41967773,-0.8086548,0.49798584,1.421875,1.5,0.21875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240327,-0.4189453,-0.8171997,0.49090576,1.09375,0.328125,0.140625,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240364,-0.42163086,-0.8130493,0.49749756,1.109375,-0.234375,0.5,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240405,-0.41967773,-0.82232666,0.5018921,-0.1875,0.359375,0.515625,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240426,-0.41235352,-0.8115845,0.48968506,-0.390625,-0.03125,0.5625,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240464,-0.41625977,-0.8135376,0.49920654,-0.375,-0.640625,0.59375,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240503,-0.4248047,-0.8110962,0.49505615,-0.6875,-1.546875,0.46875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240545,-0.4345703,-0.81036377,0.5072632,-0.5,-1.328125,0.6875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240584,-0.43017578,-0.80963135,0.48724365,-1.0625,-0.1875,0.234375,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240624,-0.43408203,-0.8088989,0.5079956,0.5,-1.21875,0.578125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240665,-0.4272461,-0.79571533,0.46673584,-0.671875,0.203125,-0.015625,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240704,-0.43920898,-0.82476807,0.510437,0.421875,0.21875,0.40625,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240743,-0.42333984,-0.8115845,0.49456787,0.9375,0.796875,0.75,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240784,-0.41186523,-0.80670166,0.48968506,1.21875,0.109375,0.28125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240824,-0.41235352,-0.81207275,0.50286865,0.75,0.140625,0.078125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240864,-0.41601562,-0.8184204,0.4899292,0.015625,-0.765625,-0.140625,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240907,-0.4165039,-0.8052368,0.5018921,-0.015625,-0.515625,-0.28125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240945,-0.42016602,-0.81427,0.49822998,-0.40625,-0.46875,-0.296875,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274240985,-0.4248047,-0.8032837,0.48968506,0.28125,-0.34375,0.3125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274241024,-0.43066406,-0.8106079,0.4874878,-0.078125,-0.84375,0.234375,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274241064,-0.42041016,-0.81451416,0.4804077,-0.453125,-2.40625,-0.25,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274241107,-0.43652344,-0.8088989,0.4857788,0.765625,-2.21875,0.03125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274241149,-0.4182129,-0.81817627,0.47869873,0.6875,-0.203125,-0.28125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274241186,-0.43359375,-0.8201294,0.5150757,1.15625,-1.234375,0.28125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
1664274241228,-0.4326172,-0.80059814,0.4713745,-0.03125,0.234375,0.03125,Respeck,Sitting bent backward,5,s1911027,,Respeck_s1911027_Sitting bent backward_27-09-2022_11-24-30
