timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1663949949093,0.044677734,-1.0354614,0.08270264,6.25,-2.859375,2.03125,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949123,0.100097656,-0.97735596,0.1071167,6.46875,-3.21875,2.890625,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949168,0.032958984,-0.95977783,0.09075928,8.5625,-4.09375,3.0,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949213,-0.016357422,-0.9890747,0.012145996,5.34375,-2.0625,1.578125,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949243,0.068603516,-0.97613525,0.014099121,5.328125,3.578125,3.34375,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949303,0.13842773,-0.9390259,0.03778076,-1.796875,-2.578125,3.359375,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949318,0.099121094,-0.9741821,0.08782959,-3.828125,-8.078125,1.90625,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949363,0.06958008,-0.9998169,0.06756592,0.234375,-2.234375,0.484375,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949408,0.091308594,-0.9817505,0.055114746,0.21875,0.78125,-1.3125,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949438,0.123535156,-0.9819946,0.043395996,0.765625,-2.1875,-0.1875,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949483,0.09814453,-0.99005127,0.078552246,1.734375,-3.78125,-0.25,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949513,0.05834961,-1.0010376,0.059265137,0.25,-2.859375,1.3125,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949558,0.043701172,-0.9673462,0.04876709,-0.4375,0.984375,0.90625,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949603,0.06591797,-0.9854126,0.06976318,1.734375,1.234375,-0.796875,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949633,0.057861328,-0.97491455,0.059020996,1.890625,-1.03125,-1.875,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949678,0.095214844,-0.97198486,0.05218506,-0.359375,-0.3125,-1.09375,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
1663949949709,0.084228516,-0.96954346,0.04510498,0.03125,-2.125,-2.546875,Respeck,Standing,100,s1911455,,Respeck_s1911455_Standing_23-09-2022_17-19-41
