timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664029125835.0,0.92,0.01,0.42,-0.69,-0.42,0.19,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029125880.0,0.91,0.01,0.43,-0.59,-0.17,0.19,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029125910.0,0.91,0.02,0.42,-1.13,0.02,-0.02,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029125959.0,0.91,0.02,0.43,-1.39,0.53,-0.06,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029125989.0,0.91,0.02,0.43,-0.83,0.06,-0.09,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126029.0,0.91,0.01,0.43,-0.72,-0.17,0.02,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126089.0,0.91,0.02,0.43,-0.64,-0.03,-0.19,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126107.0,0.91,0.01,0.43,-0.39,0.22,-0.22,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126150.0,0.92,0.01,0.43,-0.78,0.06,0.0,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126196.0,0.91,0.01,0.43,-1.58,-0.02,-0.05,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126226.0,0.91,0.01,0.42,-1.08,-0.16,-0.22,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126289.0,0.91,0.01,0.4,-1.47,-0.66,-0.31,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126316.0,0.91,0.01,0.46,0.34,-0.88,-0.52,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126349.0,0.9,0.02,0.39,-1.97,1.16,0.0,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126391.0,0.9,0.01,0.44,-0.61,0.36,-0.39,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126438.0,0.92,0.01,0.42,-1.31,-0.23,-0.34,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126465.0,0.91,0.02,0.43,-0.48,0.27,-0.25,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126510.0,0.91,0.02,0.43,-0.48,-0.08,-0.31,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126539.0,0.91,0.01,0.43,-0.59,-0.2,-0.08,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126589.0,0.91,0.01,0.44,-0.67,0.14,-0.09,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126631.0,0.91,0.02,0.42,-1.06,0.16,-0.28,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126661.0,0.91,0.02,0.43,-1.14,0.42,0.11,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126707.0,0.91,0.01,0.44,0.33,0.05,0.09,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126750.0,0.91,0.02,0.43,0.61,-0.5,0.11,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126796.0,0.91,0.02,0.43,0.16,-0.17,-0.09,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126829.0,0.91,0.02,0.43,-0.23,0.08,0.16,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126901.0,0.91,0.02,0.43,-0.34,0.41,-0.13,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126904.0,0.9,0.02,0.43,-0.73,0.13,-0.27,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126948.0,0.91,0.01,0.43,-0.19,-0.14,-0.06,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
1664029126978.0,0.91,0.01,0.43,0.34,-0.08,-0.25,Respeck,Lying down right,6,s2269664,6.1,Respeck_s2269664_Lying down right_24-09-2022_15-19-17
