timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1665131446512,-0.46679688,0.07910156,0.09375,15.625,43.4375,30.625,-21.0,15.8125,9.375,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446527,-0.6064453,-0.047851562,0.15625,26.53125,71.6875,45.8125,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446574,-0.76464844,-0.20117188,0.07519531,6.5625,70.65625,51.6875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446603,-1.1728516,-0.32421875,0.45898438,23.96875,50.03125,23.25,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446647,-0.90234375,-0.17089844,0.43945312,-25.15625,45.40625,1.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446692,-0.87890625,-0.09277344,0.36914062,-35.96875,39.15625,-5.5,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446723,-0.78515625,-0.055664062,0.36132812,4.75,16.40625,2.59375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446768,-0.83984375,0.2626953,0.3017578,26.59375,-2.6875,11.34375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446813,-1.5908203,-0.43554688,-0.7011719,129.6875,13.40625,45.9375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446842,-1.3925781,0.0859375,0.11230469,-7.34375,13.21875,-32.4375,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446889,-2.0,-0.119140625,0.6894531,47.59375,5.78125,2.5625,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
1665131446948,-0.9589844,0.140625,-0.37402344,-1.3125,-41.59375,-22.21875,0.0,0.0,0.0,Thingy,Descending stairs,13,s1826377,,Thingy_s1826377_Descending stairs_07-10-2022_09-31-21
