timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664841314104,0.029296875,-0.5185547,0.87890625,-0.53125,-1.03125,-2.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314164,0.072265625,-0.5341797,0.859375,1.4375,-0.78125,1.46875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314194,0.034179688,-0.51953125,0.8691406,-1.875,0.875,-1.4375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314225,0.0390625,-0.5419922,0.8691406,0.4375,0.0625,0.875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314254,0.036132812,-0.51660156,0.8769531,-0.53125,-0.53125,-0.09375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314314,0.046875,-0.5205078,0.8652344,-1.1875,1.40625,1.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314345,0.055664062,-0.51660156,0.87109375,-0.46875,-1.9375,0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314374,0.024414062,-0.52246094,0.8613281,-1.75,2.28125,-1.25,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314434,0.064453125,-0.52246094,0.8574219,-0.46875,-1.15625,-0.59375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314464,0.029296875,-0.55859375,0.8535156,-1.875,0.75,2.46875,-47.25,-29.1875,-98.625,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314494,0.034179688,-0.546875,0.86621094,0.5625,-2.125,-0.03125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314554,0.06542969,-0.51953125,0.85839844,2.75,1.59375,-2.3125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314585,0.013671875,-0.5292969,0.8730469,0.5,1.96875,0.625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314644,0.08203125,-0.4951172,0.8671875,1.46875,-2.5625,-0.71875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314674,0.026367188,-0.5136719,0.8701172,-2.3125,1.28125,1.96875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314705,0.049804688,-0.5527344,0.8623047,1.125,-2.25,0.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314764,0.038085938,-0.5234375,0.8515625,-1.8125,0.375,-0.78125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314824,0.05078125,-0.5361328,0.87597656,-0.40625,-0.71875,0.75,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314826,0.024414062,-0.5175781,0.85839844,-0.28125,-0.96875,-0.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314884,0.06542969,-0.5449219,0.86816406,0.1875,-0.53125,1.78125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314914,0.02734375,-0.5419922,0.8613281,-1.25,0.625,-1.5625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314944,0.061523438,-0.51171875,0.8691406,0.5625,0.5,0.9375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841314974,0.022460938,-0.5283203,0.8564453,1.25,0.0625,-0.65625,-48.875,-28.625,-99.8125,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315034,0.041992188,-0.51171875,0.8808594,-1.1875,-0.96875,0.3125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315064,0.05078125,-0.5390625,0.87890625,-0.90625,-0.96875,1.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315124,0.037109375,-0.51953125,0.85253906,0.25,2.6875,-0.53125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315154,0.03515625,-0.53808594,0.8613281,-1.625,-0.46875,-0.46875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315185,0.053710938,-0.5410156,0.84472656,0.1875,-1.625,1.25,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315307,0.0390625,-0.53125,0.8515625,-0.03125,0.25,0.25,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315310,0.043945312,-0.5107422,0.890625,0.875,0.375,0.6875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315334,0.03515625,-0.5214844,0.8720703,0.3125,-1.3125,0.03125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315364,0.04296875,-0.5214844,0.86816406,-1.625,-0.96875,0.3125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315395,0.05078125,-0.515625,0.86035156,1.78125,-0.46875,-0.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315424,0.03125,-0.5234375,0.8808594,-1.625,1.28125,-1.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315455,0.049804688,-0.53027344,0.8779297,0.15625,-2.65625,1.125,-48.0,-28.1875,-97.875,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315544,0.041992188,-0.5341797,0.8535156,0.75,-0.59375,1.84375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315549,0.025390625,-0.5136719,0.859375,-1.5,3.75,-1.6875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315604,0.033203125,-0.5390625,0.87402344,-0.71875,-2.1875,0.1875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315634,0.060546875,-0.5361328,0.8408203,1.53125,-1.28125,-0.03125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315665,0.0146484375,-0.5234375,0.8564453,-0.78125,1.40625,-1.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315724,0.053710938,-0.5214844,0.88378906,0.5625,-1.21875,0.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315754,0.026367188,-0.5371094,0.83496094,-0.90625,-0.15625,1.53125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315784,0.041992188,-0.53222656,0.88183594,0.15625,1.0625,-1.6875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315814,0.056640625,-0.5283203,0.8652344,0.375,-1.15625,0.625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315874,0.034179688,-0.51660156,0.8652344,0.625,0.5625,-0.65625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315905,0.041015625,-0.5263672,0.8886719,-0.15625,-0.21875,0.375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315934,0.029296875,-0.52246094,0.8652344,-0.96875,0.1875,0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841315994,0.068359375,-0.5234375,0.8691406,1.53125,-0.71875,1.1875,-46.8125,-28.625,-99.375,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316024,0.03125,-0.5234375,0.8613281,0.5625,1.0,0.1875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316055,0.022460938,-0.53027344,0.8964844,-2.46875,0.5,-2.3125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316144,0.0703125,-0.53808594,0.8720703,3.8125,-3.65625,2.40625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316146,0.0029296875,-0.51660156,0.8535156,-1.875,1.78125,-2.5,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316204,0.061523438,-0.53125,0.875,0.5,-1.5625,0.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316264,0.025390625,-0.5185547,0.8642578,0.25,-0.34375,1.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316267,0.044921875,-0.5361328,0.8613281,-0.28125,0.1875,-1.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316324,0.055664062,-0.5214844,0.8564453,-0.46875,0.75,0.6875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316355,0.03125,-0.5205078,0.8574219,1.125,-1.21875,-0.03125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316384,0.0546875,-0.5175781,0.8876953,-0.78125,1.59375,-0.96875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316414,0.040039062,-0.5361328,0.8808594,-0.65625,-2.1875,1.0,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316474,0.052734375,-0.51953125,0.8466797,0.3125,-0.34375,-0.65625,-48.75,-26.9375,-98.875,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316504,0.0390625,-0.52734375,0.8642578,-1.75,1.0,-0.84375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316534,0.040039062,-0.54003906,0.8642578,1.1875,-1.375,1.65625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316594,0.020507812,-0.5283203,0.8701172,-0.34375,0.5,-0.90625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316624,0.051757812,-0.51660156,0.8652344,0.4375,0.75,-0.84375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316656,0.044921875,-0.51464844,0.8720703,-0.15625,-0.90625,0.25,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316714,0.056640625,-0.52734375,0.87109375,-0.03125,0.25,0.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316744,0.043945312,-0.5292969,0.87890625,-0.03125,0.25,0.03125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316775,0.04296875,-0.5175781,0.85839844,0.15625,-0.65625,0.0625,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316834,0.045898438,-0.5263672,0.8535156,-0.28125,-0.59375,-0.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316864,0.036132812,-0.5341797,0.8808594,-1.375,0.5,-0.21875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316894,0.053710938,-0.54003906,0.8691406,-0.59375,-1.15625,0.375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316984,0.0234375,-0.5332031,0.86621094,-0.34375,1.1875,0.125,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841316986,0.05859375,-0.51953125,0.8730469,0.15625,-0.21875,-0.65625,-48.625,-26.8125,-99.0625,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841317044,0.03125,-0.53515625,0.8691406,-0.46875,0.0625,0.375,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
1664841317074,0.034179688,-0.5283203,0.86621094,1.0,0.125,-0.71875,0.0,0.0,0.0,Thingy,Lying down on back,2,s1900673,,Thingy_s1900673_Lying down on back_04-10-2022_00-55-50
