timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664892690828,-0.37695312,-0.39160156,0.8828125,0.03125,0.03125,0.0625,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892690858,-0.37402344,-0.3955078,0.8730469,0.09375,0.03125,-0.3125,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892690888,-0.37109375,-0.39257812,0.86816406,0.09375,0.09375,0.125,5.25,33.5,19.875,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892690963,-0.3671875,-0.39160156,0.8886719,0.03125,0.03125,0.0625,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892690978,-0.3720703,-0.40234375,0.8847656,-0.03125,-0.03125,0.3125,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691008,-0.3779297,-0.39648438,0.88183594,0.0,0.03125,0.4375,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691053,-0.375,-0.3984375,0.875,-0.125,0.09375,0.0625,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691098,-0.375,-0.40039062,0.8808594,0.125,-0.03125,0.0625,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691128,-0.3671875,-0.3955078,0.8769531,-0.125,0.03125,0.1875,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691174,-0.3779297,-0.38964844,0.8769531,-0.0625,-0.03125,0.25,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691218,-0.36914062,-0.39746094,0.8925781,0.0,0.15625,0.25,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691248,-0.37597656,-0.39648438,0.8847656,0.0625,0.09375,0.3125,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691293,-0.3701172,-0.3984375,0.87109375,0.0,0.03125,0.5625,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691338,-0.375,-0.3955078,0.87890625,0.0,0.15625,0.4375,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691368,-0.3701172,-0.39160156,0.8779297,0.1875,0.03125,0.25,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691413,-0.37695312,-0.40039062,0.8876953,0.0,0.09375,0.5625,5.25,33.1875,19.875,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691458,-0.375,-0.390625,0.890625,0.125,0.09375,0.375,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
1664892691488,-0.3720703,-0.3935547,0.88378906,-0.0625,-0.03125,0.25,0.0,0.0,0.0,Thingy,Sitting bent backward,5,s1961351,,Thingy_s1961351_Sitting bent backward_04-10-2022_15-12-01
