timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1664795369327,-0.17382812,0.0078125,0.9873047,0.15625,0.375,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369356,-0.17675781,0.009765625,0.99316406,-0.0625,0.0625,0.0,-10.375,-22.75,-112.125,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369417,-0.18359375,0.009765625,0.9765625,-0.0625,0.375,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369448,-0.17773438,0.0107421875,0.9736328,-0.1875,0.25,0.09375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369476,-0.17480469,0.0068359375,0.97753906,0.15625,0.5,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369536,-0.1796875,0.0146484375,0.9765625,-0.1875,0.0625,0.71875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369567,-0.1796875,-0.001953125,0.96484375,0.09375,0.125,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369596,-0.1796875,-0.00390625,0.97265625,0.0,0.25,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369656,-0.17578125,0.0029296875,0.9716797,0.0625,0.3125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369687,-0.17382812,0.009765625,0.9736328,-0.125,0.25,0.15625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369717,-0.18359375,0.0107421875,0.98828125,0.21875,0.5,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369776,-0.17480469,0.0078125,0.984375,0.0,0.375,0.59375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369808,-0.18652344,0.005859375,0.9785156,0.40625,0.3125,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369838,-0.17578125,-0.0029296875,0.99316406,0.09375,0.0,0.34375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369895,-0.16796875,0.00390625,0.98339844,0.34375,0.5,0.03125,-8.6875,-21.5625,-111.1875,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369926,-0.1796875,0.013671875,0.984375,-0.3125,0.3125,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795369956,-0.18066406,0.0126953125,0.9765625,0.15625,0.4375,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370016,-0.17675781,0.01171875,0.97265625,0.21875,0.25,0.28125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370045,-0.171875,0.0078125,0.98535156,0.28125,0.3125,0.21875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370076,-0.1875,0.0029296875,0.9794922,0.0625,0.34375,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370139,-0.17773438,0.0068359375,0.9794922,-0.625,0.15625,-0.875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370168,-0.1796875,0.001953125,0.9873047,-0.4375,-0.1875,-0.6875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370198,-0.18261719,0.001953125,0.97753906,0.3125,0.21875,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370257,-0.17675781,0.015625,0.9765625,0.4375,0.0,0.53125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370287,-0.17773438,0.0146484375,0.98339844,0.125,-0.25,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370323,-0.1796875,0.0029296875,0.9785156,-0.1875,-0.25,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370377,-0.18359375,0.005859375,0.9902344,-0.125,-0.3125,-0.125,-10.0625,-22.1875,-112.375,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370407,-0.17773438,0.0078125,0.98339844,-0.1875,-0.375,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370437,-0.17773438,0.0078125,0.98339844,0.0,-0.125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370497,-0.18359375,0.0068359375,0.984375,0.0,-0.0625,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370527,-0.18261719,0.017578125,0.98339844,-0.0625,-0.125,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370557,-0.18652344,-0.0009765625,0.97753906,0.0,-0.125,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370616,-0.18066406,0.0068359375,0.99121094,0.53125,-0.0625,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370647,-0.17675781,0.009765625,0.9716797,0.3125,0.125,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370677,-0.17871094,0.0009765625,0.98535156,-0.0625,-0.125,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370736,-0.18261719,0.0,0.9873047,-0.0625,0.0,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370767,-0.17675781,0.0068359375,0.984375,0.0625,0.0625,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370796,-0.17871094,0.0048828125,0.9746094,0.3125,0.15625,0.40625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370856,-0.18066406,0.01171875,0.98046875,-0.3125,-0.1875,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370886,-0.18261719,0.00390625,0.9902344,0.0,-0.0625,0.0625,-10.1875,-23.375,-113.3125,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370916,-0.17675781,0.0107421875,0.97558594,-0.125,-0.125,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795370976,-0.18359375,-0.00390625,0.97558594,0.0,0.125,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371006,-0.171875,0.0087890625,0.98339844,-0.4375,-0.0625,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371036,-0.17871094,0.0146484375,0.984375,-0.4375,-0.125,-0.5625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371097,-0.17285156,-0.0029296875,0.97558594,-0.5,0.15625,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371126,-0.18066406,0.0048828125,0.97753906,0.0625,0.125,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371156,-0.19042969,-0.00390625,0.98046875,-0.0625,-0.0625,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371216,-0.1796875,0.0029296875,0.9794922,0.46875,-0.0625,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371276,-0.18457031,0.0068359375,0.9794922,0.90625,0.125,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371307,-0.19042969,0.01171875,0.9736328,0.65625,0.0625,-0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371338,-0.17480469,0.020507812,0.9902344,0.96875,0.0625,-0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371368,-0.17675781,0.020507812,0.9746094,0.3125,0.15625,0.25,-10.1875,-22.9375,-112.5625,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371396,-0.18164062,0.0126953125,0.9873047,-0.125,-0.0625,0.25,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371487,-0.17773438,-0.001953125,0.9785156,-0.6875,-0.125,-0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371517,-0.18261719,0.001953125,0.99316406,-0.625,-0.25,0.125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371547,-0.17285156,0.0087890625,0.9814453,0.0625,0.0625,0.0,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371606,-0.17675781,0.0,0.9873047,0.1875,0.125,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371636,-0.18164062,0.0048828125,0.9794922,0.3125,0.0625,-0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371666,-0.171875,0.0048828125,0.96777344,0.4375,0.0625,-0.4375,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371697,-0.17578125,0.016601562,0.97753906,0.0,-0.125,-0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371727,-0.17382812,0.0126953125,0.98339844,0.25,0.0,0.0625,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371756,-0.18066406,0.0078125,0.98339844,-0.125,-0.0625,0.3125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371816,-0.17871094,0.015625,0.9814453,0.0,0.15625,0.1875,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371846,-0.1796875,0.009765625,0.9765625,0.0,0.125,0.53125,0.0,0.0,0.0,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
1664795371876,-0.17578125,0.0048828125,0.97265625,0.0625,0.0,0.3125,-9.625,-24.25,-112.375,Thingy,Sitting,0,s2299270,,Thingy_s2299270_Sitting_03-10-2022_12-09-59
